IPC-Section,Description,Offense,,,
491,"If someone is legally obligated to take care of or provide for a person who is helpless due to youth, unsoundness of mind, disease, or bodily weakness, but they willingly fail to do so.","Mary, legally responsible for her elderly and ailing father, willingly neglects his care and basic needs, despite having the means to provide for him. Her failure to fulfill the legal obligation results in the vulnerable person being left without proper support due to her neglect.",,,
491,"If someone is legally obligated to take care of or provide for a person who is helpless due to youth, unsoundness of mind, disease, or bodily weakness, but they willingly fail to do so.","John, entrusted with the guardianship of his mentally challenged sibling, intentionally neglects their well-being, refusing to provide necessary care and support. This willful failure to meet the legal obligation leaves the vulnerable individual without the assistance required due to John's neglectful actions.",,,
492,repealed,repealed,,,
492,repealed,repealed,,,
492,repealed,repealed,,,
493,If a man deceives an unmarried woman into believing that she is lawfully married to him and engages in a relationship or sexual intercourse with her based on that false belief,"Alex misleads Emily into thinking they are legally married, using falsified marriage documents, and engages in a romantic relationship with her based on the false belief. Their intimacy is built on the deceptive notion of a lawful marriage, showcasing the fraudulent nature of their relationship.",,,
493,If a man deceives an unmarried woman into believing that she is lawfully married to him and engages in a relationship or sexual intercourse with her based on that false belief,"David tricks Jessica into believing they are legitimately married by presenting false marriage certificates, leading to a romantic involvement under deceptive pretenses. Their relationship becomes entangled in the falsehood of a lawful marriage, highlighting the deceitful foundation of their connection.",,,
494,"If someone marries again while their previous husband or wife is still alive, and such a marriage is considered void","John, believing his first wife had passed away, remarries. Subsequently, he learns that his first wife is still alive, rendering the second marriage void due to the existence of a living spouse. The legal acknowledgment of the initial marriage prevails, invalidating the subsequent marital union.",,,
495,If someone commits the offense of marrying again without disclosing their previous marriage to the new spouse,"In the quaint village of Tranquil Haven, a case of deceit unfolded when a resident named Alex, having been previously married, entered into a subsequent marriage with a new partner, Sarah, without disclosing the existence of the prior marriage. Alex concealed this crucial information from Sarah, who remained unaware of the concealed marriage. Suspicions arose when a family friend discovered the hidden truth and reported the matter to the authorities. Law enforcement, recognizing the offense of contracting a subsequent marriage with concealment of a former marriage, launched an investigation. Alex was subsequently charged, and during the legal proceedings, the court acknowledged the deceptive concealment and imposed appropriate penalties. This case underscored Tranquil Haven's commitment to upholding the integrity of marital commitments and ensuring transparency in matrimonial relationships within the community.",,,
495,If someone commits the offense of marrying again without disclosing their previous marriage to the new spouse,"In the suburban community of Lakeside, a case of bigamy unfolded when a resident named Mark entered into a second marriage with Linda while still legally married to his first wife, Sarah. Mark, without disclosing his existing marital status, went through with the ceremony, causing significant distress to both spouses involved. The matter came to light when Sarah discovered the second marriage and reported it to the local authorities. Mark faced charges related to marrying again during the lifetime of his first wife. In the subsequent legal proceedings, the court acknowledged the seriousness of bigamy and imposed appropriate penalties, highlighting Lakeside's commitment to upholding the sanctity of marriage and enforcing legal accountability for actions that compromise the integrity of marital relationships within the community.",,,
495,If someone commits the offense of marrying again without disclosing their previous marriage to the new spouse,"Emily, concealing her prior marriage from her new partner, engages in a second marriage without disclosing the existence of her first spouse. The offense lies in her failure to reveal the previous marital relationship to her new husband, creating a situation based on deceit and non-disclosure.",,,
496,"If someone dishonestly or fraudulently undergoes a marriage ceremony, knowing they are not lawfully married.","Sarah, aware that her divorce is not finalized, deceitfully undergoes a marriage ceremony with a new partner, presenting herself as lawfully single. Her actions demonstrate fraudulent intent as she knowingly engages in a marriage ceremony without legal validity.",,,
496,"If someone dishonestly or fraudulently undergoes a marriage ceremony, knowing they are not lawfully married.","George, having a concealed existing marriage, fraudulently goes through a marriage ceremony with a new partner, intentionally presenting himself as unmarried. His deceptive actions highlight a dishonest engagement in a marriage ceremony, knowing he is not lawfully free to marry.",,,
497,"If someone has sexual intercourse with a married woman without her husband's consent, it is considered adultery","Alex engages in a romantic relationship with Mary, knowing she is married, and does so without the consent of Mary's husband. The extramarital affair qualifies as adultery due to the intimate involvement with a married woman without the spouse's approval.",,,
497,"If someone has sexual intercourse with a married woman without her husband's consent, it is considered adultery","David, without the knowledge or consent of the husband, becomes romantically involved with a married woman named Emily. Their intimate relationship constitutes adultery, as it involves sexual intercourse with a married woman without the spouse's agreement.",,,
498,"If someone takes or lures away a woman who they know is married to another man, with the intention that she engages in illicit relations with anyone else, or if they hide or detain her with that intention","In Ram Chandra Bhagat vs State of Jharkhand case, the appellant was found guilty of making a woman believe that she was legally married to him and making her cohabit with him in that belief",,,
498,"If someone takes or lures away a woman who they know is married to another man, with the intention that she engages in illicit relations with anyone else, or if they hide or detain her with that intention","In Gurcharan Singh and Ors vs State Delhi Administration case, the accused was found guilty of enticing a married woman to leave her husband and live with him ",,,
498,"If someone takes or lures away a woman who they know is married to another man, with the intention that she engages in illicit relations with anyone else, or if they hide or detain her with that intention","Alex, knowing that Emily is married, convinces her to leave her husband and hides her with the intention that she engages in illicit relations with someone else. His actions of luring and concealing her illustrate the offense of enticing a married woman with the intent of involving her in illicit relationships.",,,
498,"If someone takes or lures away a woman who they know is married to another man, with the intention that she engages in illicit relations with anyone else, or if they hide or detain her with that intention","David, with knowledge of Sarah's marital status, persuades her to abandon her husband and hides her with the intention that she engages in illicit relations with another person. His actions of luring and concealing her demonstrate the offense of enticing a married woman with the intent of involving her in illicit relationships.",,,
499,"If someone makes or publishes false statements, signs, or visible representations with the intention to harm or with knowledge that it will harm the reputation of another person","John spread false rumors online, claiming that Sarah had committed a crime, damaging her reputation within the community.",,,
499,"If someone makes or publishes false statements, signs, or visible representations with the intention to harm or with knowledge that it will harm the reputation of another person"," Mary created fake social media posts, falsely attributing harmful actions to her coworker Mark, with the intent of tarnishing his professional image.",,,
500,If someone defames another person.,"In a rivalry at school, Alex spread false rumors about a classmate, falsely claiming academic dishonesty. This act of defamation, tarnishing the classmate's academic standing, occurred without immediate legal consequences.",,,
500,If someone defames another person.,"Amidst a friendship fallout, Jessica circulated untrue stories about her former friend, accusing her of betrayal. This act of defamation, damaging the friend's personal relationships, took place without immediate legal consequences.",,,
501,Printing or engraving matter known to be defamatory,"A person with ill intent creates a fictional newspaper article containing false and damaging information about an individual's personal life, career, or character. The article is then printed and distributed, causing harm to the subject's reputation.",,,
501,Printing or engraving matter known to be defamatory,"An individual engraves defamatory statements about a business owner on public property, such as the exterior walls of the business premises. The false statements may include accusations of criminal activity or unethical behavior, with the intent to harm the business owner's reputation.",,,
501,Printing or engraving matter known to be defamatory,"An individual engraves a plaque containing false accusations about a public figure, such as a community leader or celebrity. The plaque is then prominently displayed in a public space, intending to harm the individual's reputation.",,,
501,"
If someone prints or engraves any content, knowing or having good reason to believe that it is defamatory about a person.","In a business rivalry, Alex printed defamatory pamphlets containing false allegations about a competing company and distributed them in the local community. His intentional act of printing harmful content, knowing it to be defamatory, aimed to damage the competitor's reputation without immediate legal consequences.",,,
501,"
If someone prints or engraves any content, knowing or having good reason to believe that it is defamatory about a person.","Amidst a social conflict, Emily printed defamatory flyers with false accusations about her former friend, damaging her reputation. Emily knowingly printed content with harmful intent, contributing to the deterioration of their relationship without immediate legal consequences.",,,
504,Intentional insult with intent to provoke breach of the peace,"In the peaceful town of Tranquil Springs, a heated altercation unfolded when two neighbors, Alice and John, engaged in a dispute over a property boundary. Tempers flared, and John, with the deliberate intention of provoking a breach of the peace, resorted to intentional insults directed at Alice. His offensive remarks were aimed at escalating the conflict and inciting a violent response. Alarmed by the escalating tension, other residents intervened and alerted the authorities. Recognizing the gravity of intentional insult with the intent to provoke a breach of the peace, law enforcement swiftly intervened, diffusing the situation and ensuring that John faced legal consequences for his provocative actions. The incident served as a reminder of Tranquil Springs' commitment to maintaining harmony and addressing conflicts through lawful means.",,,
504,Intentional insult with intent to provoke breach of the peace,"In the quiet town of Tranquil Springs, tensions escalated when an individual named Alex deliberately hurled insulting remarks with the intent to provoke a breach of the peace during a community gathering. The inflammatory comments aimed at provoking a reaction and disturbing the tranquility of the event. Disturbed by the intentional provocation, attendees reported the incident to local authorities. Alex faced charges related to intentional insult with the intent to provoke a breach of the peace. In the subsequent legal proceedings, the court recognized the gravity of intentionally disturbing public peace and imposed appropriate penalties, underscoring Tranquil Springs' commitment to maintaining a peaceful and harmonious community atmosphere.",,,
504,"
If someone intentionally insults another person, knowing it could provoke them to disturb public peace or commit another offense","During a public gathering, Sameer intentionally insulted Ritu, making offensive comments about her community. Sameer's deliberate act of provocation sought to disturb public peace and potentially provoke Ritu without immediate legal consequences.",,,
504,"
If someone intentionally insults another person, knowing it could provoke them to disturb public peace or commit another offense","In a crowded marketplace, Pooja intentionally insulted her coworker Rohit, making derogatory remarks about his professional abilities. Pooja's deliberate act of provocation aimed to disturb public peace and potentially incite Rohit to react without immediate legal consequences.",,,
505,"Whoever makes, publishes or circulates any statement, rumour or report
with intent to cause, or which is likely to cause, any officer, soldier, sailor or airman in the Army, Navy or Air Force of India to mutiny or otherwise disregard or fail in his duty as such; or
with intent to cause, or which is likely to cause, fear or alarm to the public, or to any section of the public whereby any person may be induced to commit an offence against the State or against the public tranquility; or
with intent to incite, or which is likely to incite, any class or community of persons to commit any offence against any other class or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Statements creating or promoting enmity, hatred or ill will between classes
Whoever makes, publishes or circulates any statement or report containing rumour or alarming news with intent to create or promote, or which is likely to create or promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, feelings of enmity, hatred or ill-will between different religious, racial, language or regional groups or castes or communities, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Offence under sub-section (2) committed in place of worship, etc.
Whoever commits an offence specified in sub-section (2) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.","Sneha circulates false information online, with the purpose of creating animosity between two communities based on language, aiming to induce offences against public tranquility.",,,
505,"Whoever makes, publishes or circulates any statement, rumour or report
with intent to cause, or which is likely to cause, any officer, soldier, sailor or airman in the Army, Navy or Air Force of India to mutiny or otherwise disregard or fail in his duty as such; or
with intent to cause, or which is likely to cause, fear or alarm to the public, or to any section of the public whereby any person may be induced to commit an offence against the State or against the public tranquility; or
with intent to incite, or which is likely to incite, any class or community of persons to commit any offence against any other class or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Statements creating or promoting enmity, hatred or ill will between classes
Whoever makes, publishes or circulates any statement or report containing rumour or alarming news with intent to create or promote, or which is likely to create or promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, feelings of enmity, hatred or ill-will between different religious, racial, language or regional groups or castes or communities, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Offence under sub-section (2) committed in place of worship, etc.
Whoever commits an offence specified in sub-section (2) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.","In the vibrant city of Harborview, a series of inflammatory statements began circulating on social media, contributing to public unrest and misinformation. Individuals with malicious intent disseminated false claims about an imminent threat to public safety, causing panic among the residents. Recognizing the potential harm and disruption, law enforcement swiftly investigated the origin of these statements. Once identified, the perpetrators were brought to trial, and the court, acknowledging the seriousness of statements conducing to public mischief, imposed stringent penalties. The decisive legal response aimed to discourage the spread of false information that could jeopardize public peace and emphasized Harborview's commitment to maintaining a secure and informed community.",,,
505,"Whoever makes, publishes or circulates any statement, rumour or report
with intent to cause, or which is likely to cause, any officer, soldier, sailor or airman in the Army, Navy or Air Force of India to mutiny or otherwise disregard or fail in his duty as such; or
with intent to cause, or which is likely to cause, fear or alarm to the public, or to any section of the public whereby any person may be induced to commit an offence against the State or against the public tranquility; or
with intent to incite, or which is likely to incite, any class or community of persons to commit any offence against any other class or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Statements creating or promoting enmity, hatred or ill will between classes
Whoever makes, publishes or circulates any statement or report containing rumour or alarming news with intent to create or promote, or which is likely to create or promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, feelings of enmity, hatred or ill-will between different religious, racial, language or regional groups or castes or communities, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Offence under sub-section (2) committed in place of worship, etc.
Whoever commits an offence specified in sub-section (2) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.","In the lively city of Urbanville, a contentious situation unfolded when an individual named Jordan made false and inflammatory statements aimed at creating public mischief. Jordan, exploiting social media platforms, disseminated misleading information about a planned event, stirring up unwarranted fear and concern among the residents. Recognizing the potential harm caused by the false statements, concerned citizens reported the incident to the authorities. Jordan faced charges related to making statements conducing to public mischief. In the subsequent legal proceedings, the court acknowledged the deliberate attempt to create public disturbance and imposed appropriate penalties, emphasizing Urbanville's commitment to preserving public order and discouraging actions that could lead to unnecessary panic and chaos.",,,
505,"Whoever makes, publishes or circulates any statement, rumour or report
with intent to cause, or which is likely to cause, any officer, soldier, sailor or airman in the Army, Navy or Air Force of India to mutiny or otherwise disregard or fail in his duty as such; or
with intent to cause, or which is likely to cause, fear or alarm to the public, or to any section of the public whereby any person may be induced to commit an offence against the State or against the public tranquility; or
with intent to incite, or which is likely to incite, any class or community of persons to commit any offence against any other class or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Statements creating or promoting enmity, hatred or ill will between classes
Whoever makes, publishes or circulates any statement or report containing rumour or alarming news with intent to create or promote, or which is likely to create or promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, feelings of enmity, hatred or ill-will between different religious, racial, language or regional groups or castes or communities, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Offence under sub-section (2) committed in place of worship, etc.
Whoever commits an offence specified in sub-section (2) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.","Rahul, with a malicious motive, disseminated false information suggesting a potential mutiny within the ranks. His intentional act of spreading baseless rumors was calculated to create fear and alarm among the armed forces, with the aim of causing them to disregard their duties.",,,
505,"Whoever makes, publishes or circulates any statement, rumour or report
with intent to cause, or which is likely to cause, any officer, soldier, sailor or airman in the Army, Navy or Air Force of India to mutiny or otherwise disregard or fail in his duty as such; or
with intent to cause, or which is likely to cause, fear or alarm to the public, or to any section of the public whereby any person may be induced to commit an offence against the State or against the public tranquility; or
with intent to incite, or which is likely to incite, any class or community of persons to commit any offence against any other class or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Statements creating or promoting enmity, hatred or ill will between classes
Whoever makes, publishes or circulates any statement or report containing rumour or alarming news with intent to create or promote, or which is likely to create or promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, feelings of enmity, hatred or ill-will between different religious, racial, language or regional groups or castes or communities, shall be punished with imprisonment which may extend to three years, or with fine, or with both.
Offence under sub-section (2) committed in place of worship, etc.
Whoever commits an offence specified in sub-section (2) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.","In a diverse neighborhood, tensions escalated due to a series of false statements spread by Aisha. With a clear intent to foster animosity, Aisha circulated rumors targeting different religious groups, sparking feelings of enmity and hatred. ",,,
506,Punishment for criminal intimidation,"Rahul, upset with Neha, verbally threatens her with harm if she doesn't comply with his demands, illustrating criminal intimidation through spoken words.",,,
506,Punishment for criminal intimidation,"In the jurisdiction of Rivertown, the legal system responded sternly to instances of criminal intimidation. Following a thorough investigation into the anonymous threats received by business tycoon Robert Turner, the perpetrator was apprehended and brought to trial. The court, recognizing the severity of criminal intimidation, handed down a significant punishment to serve as a deterrent. The convicted individual faced a substantial prison sentence, reflecting the gravity of attempting to instill fear and coerce through threats. This legal response underscored Rivertown's commitment to ensuring the safety and security of its residents and maintaining a just and orderly society.",,,
506,"
If someone commits the offense of criminal intimidation; and if the threat involves serious harm, destruction of property by fire, or imputing unchastity to a woman","In the bustling city of Harborview, a distressing case unfolded when a resident named Alex engaged in criminal intimidation, using explicit threats to coerce a fellow community member, Taylor, into compliance with unlawful demands. Recognizing the seriousness of the situation, Taylor reported the criminal intimidation to local authorities. Alex faced charges related to this offense, and in the subsequent legal proceedings, the court acknowledged the deliberate attempt to instill fear for personal gain. Appropriate penalties were imposed, underscoring Harborview's commitment to ensuring the safety and security of its residents while discouraging coercive and threatening behavior.",,,
506,"
If someone commits the offense of criminal intimidation; and if the threat involves serious harm, destruction of property by fire, or imputing unchastity to a woman","During a business rivalry, Aarav criminally intimidated Riya, threatening the destruction of her warehouse by fire and spreading false accusations about her character. Aarav's offense of criminal intimidation involved severe threats to coerce Riya into taking actions against her legal rights without immediate legal consequences.",,,
506,"
If someone commits the offense of criminal intimidation; and if the threat involves serious harm, destruction of property by fire, or imputing unchastity to a woman","In a neighborhood dispute, Neha criminally intimidated Rahul, threatening serious harm to his family and imputing unchastity to his wife unless he withdrew from a community leadership position. Neha's offense of criminal intimidation involved grave threats to coerce Rahul into actions against his legal rights without immediate legal consequences.",,,
507,Criminal intimidation by an anonymous communication,"Aman receives an anonymous letter threatening harm to his family if he doesn't comply with certain demands, illustrating criminal intimidation through an undisclosed source.",,,
507,Criminal intimidation by an anonymous communication,"In the bustling city of Urbanville, a series of ominous events unfolded when its prominent business tycoon, Robert Turner, began receiving anonymous threatening communications. These messages, delivered through cryptic letters and emails, conveyed explicit warnings of harm to his life and property unless certain demands were met. The city's law enforcement, alarmed by the criminal intimidation, launched an investigation to trace the source of the anonymous communications and apprehend the perpetrator behind the veiled threats, marking a tense and mysterious chapter in Urbanville's legal landscape.",,,
507,Criminal intimidation by an anonymous communication,"In the coastal town of Oceanfront, a troubling incident unfolded when an anonymous individual sent threatening messages to a local business owner, Sara, using various means of communication. These messages contained explicit threats aimed at coercing Sara into complying with malicious demands. Concerned about the potential danger, Sara reported the criminal intimidation by an anonymous communication to the local authorities. In response, law enforcement launched an investigation to trace the source of the threats. The perpetrator, upon discovery, faced charges related to criminal intimidation by an anonymous communication. In the subsequent legal proceedings, the court acknowledged the severity of using anonymity to instill fear and imposed appropriate penalties, highlighting Oceanfront's commitment to safeguarding its residents from such malicious activities.",,,
507,"
If someone engages in criminal intimidation using an anonymous communication or hides their identity to issue threats, ","David, a business owner, started receiving threatening emails and messages from an unknown account. The messages contained explicit warnings about the harm that would befall his business if he didn't withdraw from a lucrative deal. By hiding their identity and employing electronic means, the perpetrator sought to create a climate of fear and anxiety. ",,,
507,"
If someone engages in criminal intimidation using an anonymous communication or hides their identity to issue threats, ","Rachel received a series of ominous letters warning her about dire consequences if she didn't comply with certain demands. The letters, sent by an unknown sender, were carefully crafted to instill fear without revealing the identity of the perpetrator.",,,
508,Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure,"Radhika, influenced by Priya, is led to believe that participating in a ritual will spare her from divine displeasure, illustrating the impact of manipulative tactics on personal beliefs.

",,,
508,Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure,"In the serene village of Harmony Hills, a deceptive individual named Samuel exploited the beliefs of a devout resident, Michael. Samuel, posing as a spiritual authority, convinced Michael that he had committed a grave sin that would incur divine displeasure. Manipulating Michael's faith, Samuel coerced him into carrying out a significant act as a form of repentance. Michael, earnest in his desire to seek forgiveness, unwittingly performed the act under the false belief that it would avert divine wrath. This deceitful manipulation of religious convictions led to a situation where an individual's faith was exploited for personal gain.",,,
508,Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure,"In the serene town of Tranquil Grove, a disconcerting situation unfolded when an individual named Elijah deceived a vulnerable resident, Rebecca, by inducing her to believe that a particular act would render her an object of divine displeasure. Elijah manipulated religious beliefs to coerce Rebecca into taking actions she would not have otherwise considered. Disturbed by the psychological and emotional impact on Rebecca, concerned friends reported the incident to the local authorities. Elijah faced charges related to the act caused by inducing a person to believe they would be rendered an object of divine displeasure. In the subsequent legal proceedings, the court acknowledged the deliberate exploitation of religious sentiments and imposed appropriate penalties, emphasizing Tranquil Grove's commitment to protecting its residents from manipulative practices that exploit personal beliefs.",,,
508,"
If someone tries to make another person do something they are not legally obligated to do or refrain from something they are legally entitled to do by falsely claiming that divine displeasure will befall them or someone they care about","Sarah, known for her cunning ways, falsely proclaimed to her elderly neighbor, Mr. Johnson, that unless he signed over his property to her, divine retribution would befall his family. Fearful for their safety, Mr. Johnson, unaware of his legal rights, reluctantly agreed.",,,
508,"
If someone tries to make another person do something they are not legally obligated to do or refrain from something they are legally entitled to do by falsely claiming that divine displeasure will befall them or someone they care about"," Jake, seeking personal gain, spread false rumors that a severe calamity was imminent, foretelling disaster for those who didn't contribute to his so-called ""divine protection fund."" Terrified and misled, many villagers complied, donating their savings to Jake. ",,,
509,"Word, gesture, or act intended to insult the modesty of a woman"," Karan, in a display of disrespect, makes an offensive comment intended to insult the modesty of Riya, highlighting the need for addressing verbal harassment.",,,
509,"Word, gesture, or act intended to insult the modesty of a woman","In the quaint town of Meadowville, during a local community event, a woman named Sarah found herself subjected to unwarranted harassment. As she strolled through the festivities, a man named Ethan made an offensive gesture and uttered derogatory comments with the intent to insult her modesty. Shocked and offended, Sarah promptly reported the incident to the event organizers, prompting them to take swift action to address and condemn such inappropriate behavior.",,,
509,"Word, gesture, or act intended to insult the modesty of a woman","In the vibrant city of Suncrest, a distressing situation unfolded when an individual named Carlos directed inappropriate gestures and made derogatory remarks with the intent to insult the modesty of a woman named Maria. Carlos's offensive behavior, intended to demean and disrespect Maria, prompted witnesses to report the incident to local authorities. Carlos faced charges related to using a word, gesture, or act intended to insult the modesty of a woman. In the subsequent legal proceedings, the court recognized the severity of the offense and imposed appropriate penalties, underscoring Suncrest's commitment to upholding the dignity and respect of individuals, especially women, within the community.",,,
509,"
If someone intentionally tries to insult a woman's modesty by using offensive words, gestures, or actions, or intrudes on her privacy.","Sarah experienced persistent unwarranted attention from her colleague, Alex. He consistently made sexually suggestive remarks and invaded her personal space, creating a hostile atmosphere.",,,
509,"
If someone intentionally tries to insult a woman's modesty by using offensive words, gestures, or actions, or intrudes on her privacy.","James, fueled by inappropriate intentions, directed lewd comments and gestures towards Maria, a woman attending the event. ",,,
510,Misconduct in public by a drunken person,"During a local festival, an intoxicated individual becomes unruly and starts shouting profanities, disrupting the peaceful atmosphere. Law enforcement intervenes to control the situation and may charge the person with misconduct in public.",,,
510,Misconduct in public by a drunken person,"After consuming excessive alcohol at a bar, a group of individuals engages in a physical altercation outside the establishment. Passersby witness the brawl, and law enforcement is called to the scene. The drunken individuals are arrested for public misconduct.",,,
510,Misconduct in public by a drunken person,"A person under the influence of alcohol starts damaging public property in a park, such as breaking park benches or littering. The disruptive behavior draws attention, and park authorities or law enforcement intervene to address the misconduct.",,,
510,Misconduct in public by a drunken person,"Late one evening in the lively town of Riverside, a local pub hosted a bustling crowd enjoying the weekend atmosphere. Among the patrons was a visibly intoxicated individual named Jake, who had consumed one drink too many. As the night progressed, Jake's behavior became increasingly disruptive. Ignoring the pleas of friends to calm down, he stumbled around, knocking over chairs and causing a commotion. Concerned about the escalating situation, the pub's staff decided to intervene and called the local authorities to address Jake's misconduct in public due to his drunken state.",,,
510,Misconduct in public by a drunken person,"In the lively town of Celebration Springs, a disruptive incident occurred when an intoxicated individual named Jake engaged in public misconduct. Under the influence of alcohol, Jake's behavior became unruly and disruptive, causing discomfort and concern among the community members. Witnesses promptly reported the incident to local authorities. Jake faced charges related to misconduct in public by a drunken person. In the subsequent legal proceedings, the court acknowledged the impact of Jake's behavior on public order and safety, imposing appropriate penalties to underscore Celebration Springs' commitment to maintaining a harmonious and safe community environment.",,,
510,"If someone, while intoxicated, behaves in a way that annoys others in a public or restricted area,","Aditi, under the influence of alcohol, engages in disruptive behavior in a public park, causing annoyance to fellow visitors and drawing attention to the consequences of public intoxication.",,,
510,"If someone, while intoxicated, behaves in a way that annoys others in a public or restricted area,","Rajat, after consuming alcohol, behaves in a disruptive manner in a restricted event, annoying attendees and highlighting the social implications of intoxicated conduct.",,,
510,"If someone, while intoxicated, behaves in a way that annoys others in a public or restricted area,","Nisha, in an inebriated state, creates a disturbance in a public transportation terminal, annoying commuters and emphasizing the need for responsible behavior in public spaces.",,,
510,"If someone, while intoxicated, behaves in a way that annoys others in a public or restricted area,","Sarah, fueled by excessive drinking, started behaving disruptively in the restricted VIP section. Her loud and disruptive actions not only annoyed fellow concert-goers but also created a disturbance in the designated area. ",,,
510,"If someone, while intoxicated, behaves in a way that annoys others in a public or restricted area,","David, under the influence of alcohol, stumbled out of a local pub in the late hours. Unmindful of his surroundings, he began shouting loudly, disturbing the peaceful night for residents",,,
511,"Whoever tries to commit a crime punishable by imprisonment or causes someone else to commit it, but fails, can be punished with imprisonment up to half the maximum term or a fine, as specified for that offense.","Aman, in a misguided attempt, endeavors to commit a theft but is unsuccessful, bringing attention to the legal consequences of attempted criminal activities.",,,
511,"Whoever tries to commit a crime punishable by imprisonment or causes someone else to commit it, but fails, can be punished with imprisonment up to half the maximum term or a fine, as specified for that offens","Priya persuades her friend Rohan to commit fraud, but their attempt fails, highlighting the legal implications for individuals who encourage or influence others to engage in criminal activities.",,,
511,"Whoever tries to commit a crime punishable by imprisonment or causes someone else to commit it, but fails, can be punished with imprisonment up to half the maximum term or a fine, as specified for that offense.","Sneha tries to hack into a computer system but fails, emphasizing the legal repercussions for those attempting cybercrimes, irrespective of success.",,,
511,"Whoever tries to commit a crime punishable by imprisonment or causes someone else to commit it, but fails, can be punished with imprisonment up to half the maximum term or a fine, as specified for that offens","Amelia, discontent with her financial situation, coerced her unsuspecting friend, Jake, into participating in a fraudulent scheme to manipulate stock prices. Their intricate plan, however, unraveled when regulatory authorities discovered the scheme before any actual financial harm occurred. ",,,
511,"Whoever tries to commit a crime punishable by imprisonment or causes someone else to commit it, but fails, can be punished with imprisonment up to half the maximum term or a fine, as specified for that offens","Robert meticulously planned a bank heist, attempting to execute a sophisticated plan to rob the bank's vault. However, due to a stroke of luck and timely intervention by law enforcement, the heist was thwarted before it could be carried out.",,,
121A,anyone who conspires to commit certain serious offences or intends to use criminal force against the Central Government or any State Government may face punishment of life imprisonment,"Snehal, a political activist, is under investigation for conspiring to commit serious offences against the Central Government, highlighting concerns about the preservation of national security.",,,
121A,anyone who conspires to commit certain serious offences or intends to use criminal force against the Central Government or any State Government may face punishment of life imprisonment,"Vikram, a radical organizer, faces legal scrutiny for expressing intentions to use criminal force against a State Government, raising alarms about potential threats to public safety.",,,
121A,anyone who conspires to commit certain serious offences or intends to use criminal force against the Central Government or any State Government may face punishment of life imprisonment,"Ananya, a vocal protester, is being questioned for allegedly conspiring with others to commit offences against the Central Government as part of a larger political dissent movement, prompting debates on the boundaries of lawful activism.",,,
121A,anyone who conspires to commit certain serious offences or intends to use criminal force against the Central Government or any State Government may face punishment of life imprisonment,A group of individuals conspired to carry out a terrorist attack with the aim of destabilizing the Central Government and creating fear within the population.,,,
121A,anyone who conspires to commit certain serious offences or intends to use criminal force against the Central Government or any State Government may face punishment of life imprisonment,"In a secret meeting, a group of rebels plotted to use criminal force against the State Government in an attempt to overthrow it and establish their own political agenda.",,,
124A,"who attempt to bring hatred, contempt, or disaffection towards the Government of India through spoken or written words, signs, or visible representations, with either life imprisonment ","Reena, a political activist, is under scrutiny for using spoken words in public speeches to propagate feelings of hatred and contempt towards the Government of India, raising concerns about the impact of such expressions on civic discourse.",,,
124A,"who attempt to bring hatred, contempt, or disaffection towards the Government of India through spoken or written words, signs, or visible representations, with either life imprisonment "," Anand, a journalist, is facing legal consequences for publishing articles that attempt to bring disaffection towards the Indian government through critical written content, prompting discussions on the responsibility of media in expressing dissent.",,,
124A,"who attempt to bring hatred, contempt, or disaffection towards the Government of India through spoken or written words, signs, or visible representations, with either life imprisonment ","Kabir, an artist, is being questioned for creating visible representations that convey contempt towards the Government of India, sparking debates on the boundaries of artistic freedom and civic responsibility.",,,
